StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Age,Gender.,Gender._4_TEXT,Musicianship,QID41,Gold.MSI.Q1,Gold.MSI.Q2,Gold.MSI.Q3,Example.,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Feedback
2024-11-19 10:04:58,2024-11-19 10:13:55,IP Address,88.97.195.105,100,537,True,2024-11-19 10:13:55,R_85R8kGMQmNo8gyI,,,,,54.5869,-1.4165,anonymous,EN-GB,I understand the conditions of this study,20,Prefer not to say,,Music-loving nonmusician,"I know a bit of musical theory through dance terms, I know a few instruments but not enough to play a full song, but I do love music.",2,1,60-90 minutes,Happiness,Fear,Fear,Sadness,Sadness,Tenderness,Sadness,Fear,Happiness,Sadness,Anger,Anger,Tenderness,Sadness,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-19 10:27:40,2024-11-19 10:35:52,IP Address,204.144.210.225,100,491,True,2024-11-19 10:35:52,R_3sZOwAhApmT60ij,,,,,41.6622,-91.5149,anonymous,EN-GB,I understand the conditions of this study,20,Non-binary,,Amateur musician,,1,11+,2-3 hours,Tenderness,Fear,Fear,Tenderness,Tenderness,Sadness,Anger,Happiness,Tenderness,Fear,Fear,Happiness,Happiness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,,Anger,Sadness,Happiness,Tenderness,Anger,Fear,Why is it that the options are limited to five? What is stopping you from having participants answer in a free response manner? Thank you!
2024-11-19 11:46:56,2024-11-19 11:52:02,IP Address,88.97.198.0,100,306,True,2024-11-19 11:52:03,R_2IYqH4QcIHPcrVi,,,,,54.5869,-1.4165,anonymous,EN-GB,I understand the conditions of this study,20,Female,,Serious amateur musician,"Played various instruments from the age of 6, orchestrally from 10.",10+,4-6,0-15 minutes,Tenderness,Fear,Anger,Fear,Sadness,Happiness,Sadness,Happiness,Sadness,Fear,Anger,Anger,Tenderness,Sadness,Sadness,Happiness,Fear,Happiness,Anger,Sadness,Anger,Tenderness,Happiness,Sadness,Anger,Fear,
2024-11-19 11:58:42,2024-11-19 12:05:15,IP Address,109.147.228.167,100,392,True,2024-11-19 12:05:16,R_2P4XCccFmpCjB7g,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,19,Prefer not to say,,Serious amateur musician,Doing ba music but not that good a performer :(,3,1,0-15 minutes,Tenderness,Fear,Anger,Sadness,Anger,Anger,Sadness,Anger,Sadness,Fear,Anger,Fear,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Sadness,Happiness,Sadness,Anger,Fear,Gl with your music and science module :)
2024-11-19 12:02:42,2024-11-19 12:09:26,IP Address,94.4.21.136,100,403,True,2024-11-19 12:09:26,R_8uvLcddZD9wwX2a,,,,,55.0168,-1.451,anonymous,EN-GB,I understand the conditions of this study,20,Female,,Music-loving nonmusician,I love music and come from a family of musicians but never really had an music training myself :),0,11+,60-90 minutes,Tenderness,Fear,Happiness,Sadness,Sadness,Fear,Anger,Anger,Happiness,Anger,Anger,Anger,Sadness,Happiness,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Happiness,Sadness,Happiness,Tenderness,Fear,Fear,Survey was great and super accessible! 
2024-11-19 14:22:15,2024-11-19 14:27:11,IP Address,134.161.33.141,100,295,True,2024-11-19 14:27:12,R_3znWyhiIdN8vagJ,,,,,42.5243,-92.4479,anonymous,EN-GB,I understand the conditions of this study,19,Non-binary,,Amateur musician,While I know some piano and ukulele I don’t play them a whole lot but I love music!,4-5,2,15-30 minutes,Tenderness,Fear,Fear,Tenderness,Anger,Happiness,Sadness,Anger,Tenderness,Fear,Fear,Anger,Tenderness,Anger,Sadness,Happiness,Fear,Happiness,Fear,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-19 14:44:18,2024-11-19 14:51:03,IP Address,204.144.199.193,100,405,True,2024-11-19 14:51:04,R_1KPyWliNDAlhjGe,,,,,42.0441,-91.6006,anonymous,EN-GB,I understand the conditions of this study,19,Non-binary,,Amateur musician,,6-9,2,4 hours or more,Tenderness,Anger,Anger,Sadness,Happiness,Sadness,Fear,Fear,Tenderness,Fear,Anger,Anger,Happiness,Fear,Sadness,Happiness,Fear,Happiness,Tenderness,Sadness,Anger,Sadness,Tenderness,Sadness,Anger,Fear,
2024-11-19 16:38:32,2024-11-19 16:38:55,IP Address,204.144.197.206,100,23,True,2024-11-19 16:38:56,R_505Et05unx8B2Vf,,,,,42.0441,-91.6006,anonymous,EN-GB,I understand the conditions of this study,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-19 19:56:03,2024-11-19 20:04:58,IP Address,173.23.151.111,100,535,True,2024-11-19 20:04:59,R_1FKZmrzpOnRKPpA,,,,,42.0228,-91.6572,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Music-loving nonmusician,"I've tried out some instruments before and they can be pretty difficult like anything else lol, but I'm not too interested in practicing instruments. I absolutely love music though <3",0,0,2-3 hours,Happiness,Fear,Sadness,Sadness,Sadness,Fear,Sadness,Fear,Tenderness,Fear,Fear,Anger,Sadness,Fear,Sadness,Tenderness,Fear,Fear,Sadness,Sadness,Anger,Sadness,Tenderness,Sadness,Anger,Fear,"Some were a bit hard to hear due to being really quiet, but otherwise, I loved it!"
2024-11-20 01:40:03,2024-11-20 01:46:17,IP Address,104.28.89.29,100,373,True,2024-11-20 01:46:17,R_2bZ3tq6EIWxyTxG,,,,,53.481,-2.2367,anonymous,EN-GB,I understand the conditions of this study,22,Female,,Serious amateur musician,,6-9,1,0-15 minutes,Tenderness,Fear,Anger,Tenderness,Anger,Fear,Sadness,Happiness,Tenderness,Happiness,Fear,Fear,Sadness,Happiness,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Happiness,Tenderness,Happiness,Tenderness,Anger,Fear,
2024-11-20 04:16:57,2024-11-20 04:38:13,IP Address,82.132.185.236,100,1276,True,2024-11-20 04:38:14,R_8ir2k1ilGoO2Sbp,,,,,51.4964,-0.1224,anonymous,EN-GB,I understand the conditions of this study,19,Male,,Serious amateur musician,"I played the piano for 10 years, but did not practice regularly and only achieved grade 6. I also took music gcse, but I have not played the piano in 2 years now.",1,1,0-15 minutes,Happiness,Fear,Fear,Sadness,Anger,Fear,Sadness,Fear,,Fear,Fear,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Fear,Sadness,Happiness,Tenderness,Anger,Fear,"There was one I accidentally didn’t answer as I misclicked on next. For that one, I meant to click tenderness."
2024-11-20 21:57:01,2024-11-20 22:06:08,IP Address,50.82.184.221,100,547,True,2024-11-20 22:06:09,R_1eR7hEaty2ndlrT,,,,,41.9769,-91.7084,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Amateur musician,"Have done musical theatre, various choir and dance groups, and played many instruments throughout my life ",10+,4-6,60-90 minutes,Tenderness,Fear,Anger,Sadness,Anger,Happiness,Sadness,Fear,Happiness,Fear,Fear,Fear,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Tenderness,Sadness,Anger,Fear,Happiness,Sadness,Anger,Fear,This was fun :D
2024-11-21 01:47:25,2024-11-21 01:55:59,IP Address,88.97.198.0,100,514,True,2024-11-21 01:55:59,R_8ZWwh77PLc3qdeB,,,,,54.5869,-1.4165,anonymous,EN-GB,I understand the conditions of this study,20,Female,,Nonmusician,,0,3,0-15 minutes,Tenderness,Fear,Fear,Sadness,Tenderness,Fear,Sadness,Fear,Tenderness,Fear,Fear,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Tenderness,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-21 03:55:14,2024-11-21 04:01:35,IP Address,88.97.193.112,100,381,True,2024-11-21 04:01:36,R_2aeaJvRyH2m3Ehb,,,,,54.5869,-1.4165,anonymous,EN-GB,I understand the conditions of this study,19,Male,,Amateur musician,"I enjoy playing the piano and ukulele, but I haven't had lessons for 4 years so I only play now for enjoyment.",4-5,0,15-30 minutes,Tenderness,Sadness,Anger,Tenderness,Happiness,Tenderness,Fear,Happiness,Tenderness,Fear,Anger,Fear,Tenderness,Happiness,Sadness,Happiness,Fear,Happiness,Tenderness,Sadness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-21 09:54:00,2024-11-21 10:00:45,IP Address,108.147.176.9,100,405,True,2024-11-21 10:00:46,R_3dEVTS946e4NysS,,,,,32.9247,-96.8917,anonymous,EN-GB,I understand the conditions of this study,19,Male,,Amateur musician,"I played music throughout middle school and elementary, then stopped in highschool but always appreciated and supported music while still maintaining some of the knowledge I had in middle school.",6-9,4-6,2 hours,Tenderness,Sadness,Anger,Sadness,Tenderness,Sadness,Happiness,Fear,Sadness,Fear,Anger,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Tenderness,Happiness,Tenderness,Fear,Fear,"I feel as though tender and sad often felt very similar and I had a hard time picking between the two, so many add different emotions to pick from"
2024-11-21 09:59:03,2024-11-21 10:06:13,IP Address,128.255.234.13,100,430,True,2024-11-21 10:06:14,R_6InoWThNTKEwAEx,,,,,41.6618,-91.5409,anonymous,EN-GB,I understand the conditions of this study,19,Male,,Music-loving nonmusician,don't currently play any instruments and havent in a few years but very much enjoy listening and analyzing music,6-9,2,0-15 minutes,Tenderness,Fear,Happiness,Sadness,Anger,Sadness,Sadness,Anger,Tenderness,Anger,Anger,Happiness,Tenderness,Anger,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-21 10:10:00,2024-11-21 10:16:15,IP Address,129.234.0.175,100,375,True,2024-11-21 10:16:16,R_8CtDvIPtMBL2oXD,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,20,Male,,Amateur musician,,6-9,4-6,60-90 minutes,Tenderness,Fear,Fear,Tenderness,Anger,Sadness,Tenderness,Anger,Sadness,Fear,Fear,Anger,Tenderness,Fear,Tenderness,Happiness,Fear,Happiness,Tenderness,Sadness,Fear,Sadness,Happiness,Tenderness,Anger,,
2024-11-21 11:16:13,2024-11-21 17:52:04,IP Address,109.175.154.163,100,23751,True,2024-11-21 17:52:05,R_8d5kJUpYEDf4JD9,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,19,Male,,Music-loving nonmusician,"I am closely involved with music - I love musicals, I used to play the drums etc - but haven’t had much to do with music in depth for quite a while",3,1,15-30 minutes,Tenderness,Fear,Anger,Tenderness,Sadness,Fear,Sadness,Anger,Sadness,Fear,Fear,Fear,Happiness,Fear,Sadness,Anger,Fear,Happiness,Sadness,Sadness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-22 05:13:52,2024-11-22 09:12:58,IP Address,51.19.65.32,100,14345,True,2024-11-22 09:12:58,R_81Zqy7butobSVRk,,,,,52.4494,0.6185,anonymous,EN-GB,I understand the conditions of this study,51,Female,,Amateur musician,Grade 8 flute aged 17,10+,11+,2-3 hours,Tenderness,,Fear,Tenderness,Tenderness,Sadness,Sadness,Fear,Sadness,Fear,Anger,Fear,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,Very hard to gauge emotion from a very quick note or chord even 1 second longer would have helped
2024-11-25 03:14:59,2024-11-25 03:19:34,IP Address,86.177.97.231,100,274,True,2024-11-25 03:19:34,R_8i9xqmBN7uuEyZ3,,,,,52.345,0.9996,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Serious amateur musician,Studying music with intent to make it a career ,6-9,7-10,60-90 minutes,Happiness,Sadness,Fear,Tenderness,Happiness,Tenderness,Anger,Happiness,Sadness,Fear,Anger,Fear,Tenderness,Fear,Tenderness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Tenderness,Happiness,Sadness,Anger,Fear,
2024-11-25 03:21:37,2024-11-25 03:35:25,IP Address,87.74.110.62,100,827,True,2024-11-25 03:35:26,R_8KUVrhBvvErTtAJ,,,,,53.5534,-2.1119,anonymous,EN-GB,I understand the conditions of this study,19,Non-binary,,Serious amateur musician,"Completed grade 8 violin before leaving school, and was working towards grade 8 piano, still do some music at uni like evensongs",10+,1,15-30 minutes,Tenderness,Fear,Anger,Happiness,Sadness,Tenderness,Sadness,Fear,Tenderness,Anger,Fear,Anger,Sadness,Anger,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,"I’m not sure if this was intentional, but some of the extracts at the beginning were extremely short and hard to decipher which emotion it best portrayed, so the first answers were mainly spit-balling, and in my head ai could form a further melody, which I then linked to an emotion - sorry if that doesn’t help"
2024-11-25 03:30:56,2024-11-25 03:40:15,IP Address,151.2.190.194,100,558,True,2024-11-25 03:40:15,R_2rMgL8RJxQq392q,,,,,53.6121,-2.1299,anonymous,EN-GB,I understand the conditions of this study,19,Male,,Serious amateur musician,,10+,7-10,2 hours,Tenderness,Fear,Happiness,Tenderness,Anger,Sadness,Happiness,Sadness,Tenderness,Fear,Fear,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-25 03:56:26,2024-11-25 04:04:13,IP Address,176.29.56.206,100,466,True,2024-11-25 04:04:14,R_4OOzO5ymD3NE25Z,,,,,31.9555,35.9435,anonymous,EN-GB,I understand the conditions of this study,20,Female,,Serious amateur musician,Play in orchestras ,10+,2,15-30 minutes,Tenderness,Anger,Anger,Happiness,Fear,Happiness,Sadness,Fear,Tenderness,Fear,Fear,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Sadness,Tenderness,Tenderness,Anger,Fear,For the first few where the excerpts were shorter I felt like my opinion changed because I remembered the one before. Eg if it was lower pitched than the previous one I felt like it was sadder/angrier
2024-11-25 05:00:54,2024-11-25 05:07:36,IP Address,82.132.185.191,100,401,True,2024-11-25 05:07:36,R_8YzH9p4p9GkYDm4,,,,,51.4964,-0.1224,anonymous,EN-GB,I understand the conditions of this study,20,Non-binary,,Music-loving nonmusician,I listen to loads of music but have never been good at playing instruments or singing or anything like that,0,2,60-90 minutes,Tenderness,Fear,Anger,Tenderness,Happiness,Fear,Sadness,Anger,Tenderness,Fear,Fear,Anger,Happiness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Fear,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-25 05:06:29,2024-11-25 05:11:00,IP Address,31.205.122.189,100,270,True,2024-11-25 05:11:01,R_8Hd8uj8WOo41QYE,,,,,53.2145,-0.5711,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Music-loving nonmusician,"I love music and i work on a radio show and have done for the past 2 1/2 years, i used to sing but since uni haven’t as much!",1,2,60-90 minutes,Happiness,Happiness,Anger,Sadness,Tenderness,Sadness,Fear,Anger,Sadness,Fear,Anger,Anger,Happiness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Happiness,Happiness,Happiness,Anger,Fear,"really enjoyed it, hope your research goes well! x"
2024-11-25 05:38:16,2024-11-25 05:43:44,IP Address,31.205.5.244,100,327,True,2024-11-25 05:43:44,R_2cUt7Uvcq9mt9Sf,,,,,53.7573,-2.7236,anonymous,EN-GB,I understand the conditions of this study,18,Non-binary,,Music-loving nonmusician,,0,1,2-3 hours,Happiness,Happiness,Fear,Sadness,Fear,Sadness,Fear,Anger,Fear,Tenderness,Anger,Fear,Tenderness,Anger,Sadness,Happiness,Fear,Happiness,Tenderness,Sadness,Anger,Sadness,Happiness,Tenderness,Sadness,Fear,
2024-11-25 06:16:01,2024-11-25 06:22:05,IP Address,31.120.8.105,100,364,True,2024-11-25 06:22:06,R_2pSmxTNypURVbEM,,,,,53.5972,-2.3013,anonymous,EN-GB,I understand the conditions of this study,20,Female,,Amateur musician,I play piano and guitar but all self taught/youtube so very amateur! I used to play drums more professionally but not for years!,3,4-6,60-90 minutes,Tenderness,Fear,Happiness,Tenderness,Sadness,Fear,Sadness,Happiness,Tenderness,Happiness,Anger,Happiness,Sadness,Fear,Tenderness,Happiness,Fear,Happiness,Sadness,Sadness,Fear,Anger,Tenderness,Tenderness,Anger,Fear,
2024-11-25 06:55:11,2024-11-25 07:06:59,IP Address,129.234.0.163,100,708,True,2024-11-25 07:07:00,R_8V4Bv1Q3opsB4PL,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,20,Male,,Serious amateur musician,,6-9,4-6,15-30 minutes,Tenderness,Fear,Happiness,Tenderness,Sadness,Sadness,Happiness,Anger,Tenderness,Fear,Anger,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,might be interesting to see how responses vary with cultural background/upbringing (as well as musical background)!!
2024-11-25 07:10:35,2024-11-25 07:17:16,IP Address,129.234.0.186,100,400,True,2024-11-25 07:17:16,R_8Yum8hVc6XnkCwW,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Serious amateur musician,,10+,11+,60-90 minutes,Tenderness,Anger,Anger,Sadness,Happiness,Fear,Sadness,Anger,Tenderness,Fear,Fear,Anger,Tenderness,Fear,Sadness,Happiness,Fear,Happiness,Fear,Tenderness,Anger,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-18 07:25:36,2024-11-18 07:27:28,IP Address,86.154.184.78,84,112,False,2024-11-25 07:27:28,R_8dFRCVPIwoI041W,,,,,,,anonymous,EN-GB,I understand the conditions of this study,26,Female,,Amateur musician,Choir,10+,4-6,15-30 minutes,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11-25 07:47:59,2024-11-25 07:52:29,IP Address,31.94.30.157,100,269,True,2024-11-25 07:52:29,R_8ImBIHLEMaAFwQ4,,,,,53.5082,-2.2648,anonymous,EN-GB,I understand the conditions of this study,20,Female,,Music-loving nonmusician,,1,7-10,2 hours,Tenderness,Fear,Happiness,Tenderness,Happiness,Happiness,Sadness,Sadness,Tenderness,Happiness,Fear,Anger,Happiness,Happiness,Happiness,Happiness,Fear,Happiness,Sadness,Sadness,Fear,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-18 10:28:06,2024-11-18 10:33:43,IP Address,104.28.86.104,82,336,False,2024-11-25 10:33:44,R_8rw7z7btjvzC3mR,,,,,,,anonymous,EN-GB,I understand the conditions of this study,18,Male,,Music-loving nonmusician,,0,1,2-3 hours,Happiness,Anger,Fear,Tenderness,Anger,Fear,Anger,Fear,Sadness,Fear,Anger,Fear,Happiness,Fear,Tenderness,Happiness,Fear,Anger,Sadness,Fear,,,,,,,
2024-11-19 04:58:29,2024-11-19 05:35:41,IP Address,80.46.177.16,89,2231,False,2024-11-26 05:35:44,R_2pQ9BxrwLnuXsNP,,,,,,,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Music-loving nonmusician,,0,3,2-3 hours,Fear,Anger,Anger,Sadness,Fear,Tenderness,Sadness,Anger,Tenderness,Fear,Anger,Fear,Happiness,Fear,Tenderness,Happiness,Fear,Happiness,Sadness,,,,,,,,
2024-11-26 05:41:38,2024-11-26 05:46:13,IP Address,129.234.0.190,100,275,True,2024-11-26 05:46:13,R_22CW8q6ZthJpLHM,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,20,Female,,Semi-professional musician,High level chorister and Grace 8 violin/ viola player ,2,3,15-30 minutes,Tenderness,Fear,Fear,Sadness,Anger,Fear,Happiness,Anger,Tenderness,Fear,Fear,Anger,Happiness,Fear,Tenderness,Happiness,Fear,Happiness,Fear,Tenderness,Fear,Sadness,Happiness,Tenderness,Anger,Fear,
2024-11-26 05:46:23,2024-11-26 05:51:34,IP Address,129.234.0.176,100,310,True,2024-11-26 05:51:35,R_2iVfKDnjz0L9Rfs,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,19,Female,,Music-loving nonmusician,I love music listening and have played piano briefly ,4-5,4-6,30-60 minutes,Happiness,Fear,Fear,Happiness,Anger,Sadness,Sadness,Fear,Tenderness,Fear,Fear,Anger,Sadness,Fear,Sadness,Happiness,Fear,Happiness,Sadness,Sadness,Fear,Sadness,Happiness,Tenderness,Fear,Fear,
2024-11-22 02:20:19,2024-11-26 05:59:38,IP Address,129.234.0.188,100,358758,True,2024-11-26 05:59:38,R_8p3BGQDeRPWfWro,,,,,54.7699,-1.559,anonymous,EN-GB,I understand the conditions of this study,18,Female,,Music-loving nonmusician,Love to listen to a range of music and used to play a couple of instruments but I haven’t in years ,3,7-10,30-60 minutes,,Anger,Happiness,Sadness,Anger,Tenderness,Tenderness,Fear,Tenderness,Anger,Anger,Fear,Tenderness,Anger,Sadness,Happiness,Sadness,Happiness,Sadness,Tenderness,Anger,Fear,Happiness,Sadness,Anger,Fear,
